FVC file = csiem_100_A_20130101_20130601_WQ_009.fvc, Simulation Execution: 04/05/2023 10:24:39
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.11584626977551E+03,-0.31989923378548E+02, -0.4436771E+01,          16,  0.1473199E+05,         204
, 0.11584758545393E+03,-0.31989649769849E+02, -0.3225562E+01,          16,  0.3211784E+05,         205
, 0.11585035971243E+03,-0.31987750891078E+02, -0.5132035E+00,          16,  0.3469977E+05,         206
, 0.11585192330715E+03,-0.31987283417365E+02, -0.6512910E-01,          16,  0.3256119E+05,         207
, 0.11583863856751E+03,-0.31990032120774E+02, -0.2918176E+01,          16,  0.2864325E+05,         208
, 0.11583931377631E+03,-0.31991275611326E+02, -0.3022894E+01,          16,  0.1475350E+05,         209
, 0.11584064011715E+03,-0.31991264843144E+02, -0.3479499E+01,          16,  0.3436370E+05,         210
, 0.11584264149944E+03,-0.31991783105826E+02, -0.4988568E+01,          16,  0.3646071E+05,         211
, 0.11583712682322E+03,-0.31990709626885E+02, -0.4875573E+01,          16,  0.3040643E+05,         212
, 0.11583444413947E+03,-0.31990992851427E+02, -0.6341021E+01,          16,  0.3309269E+05,         213
, 0.11583583377695E+03,-0.31991224045320E+02, -0.6385574E+01,          16,  0.1593662E+05,         214
, 0.11583103175490E+03,-0.31990369162123E+02, -0.4473298E+01,          16,  0.3147206E+05,         215
, 0.11583194034538E+03,-0.31991759545031E+02, -0.4802492E+01,          16,  0.3231345E+05,         216
, 0.11583022444452E+03,-0.31989411411567E+02, -0.3853776E+01,          16,  0.1354942E+05,         217
, 0.11583285177708E+03,-0.31992751112339E+02, -0.5304962E+01,          16,  0.1573720E+05,         218
, 0.11583390844365E+03,-0.31992319312199E+02, -0.6324738E+01,          16,  0.1530500E+05,         219
, 0.11582734311210E+03,-0.31988236645151E+02, -0.1213948E+01,          16,  0.1323047E+05,         220
, 0.11582822713856E+03,-0.31989000151006E+02, -0.1601724E+01,          16,  0.3046591E+05,         221
, 0.11582633710965E+03,-0.31988364778507E+02, -0.9663782E+00,          16,  0.1333989E+05,         222
, 0.11582926944341E+03,-0.31989794678595E+02, -0.2494888E+01,          16,  0.1386666E+05,         223
