FVC file = csiem_100_A_20130101_20130601_WQ_009.fvc, Simulation Execution: 04/05/2023 10:24:39
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.11556889478400E+03,-0.32665112691010E+02, -0.9999900E+05,  0.1391678E+06,  0.1431169E+06,       22104,           0,1,           1
, 0.11557893778372E+03,-0.32668306590922E+02, -0.9999900E+05,  0.1401728E+06,  0.1431169E+06,       22496,           0,1,           1
, 0.11558886778345E+03,-0.32671450890834E+02, -0.9999900E+05,  0.1411658E+06,  0.1431169E+06,       22893,           0,1,           1
, 0.11559868578317E+03,-0.32674547090748E+02, -0.9999900E+05,  0.1421472E+06,  0.1431169E+06,       23299,           0,1,           1
, 0.11560839078290E+03,-0.32677599890663E+02, -0.9999900E+05,  0.1431169E+06,  0.1431169E+06,,,1,           1
, 0.11584809177623E+03,-0.31962784810554E+02, -0.9999900E+05,  0.0000000E+00,  0.1773561E+03,           2,           0,2,           2
, 0.11584809177623E+03,-0.31964379810510E+02, -0.9999900E+05,  0.1773561E+03,  0.1773561E+03,,,2,           2
, 0.11585145577614E+03,-0.32010475009227E+02, -0.9999900E+05,  0.0000000E+00,  0.3768757E+03,         498,           0,3,           3
, 0.11585338777609E+03,-0.32010340509231E+02, -0.9999900E+05,  0.1827774E+03,  0.3768757E+03,         521,           0,3,           3
, 0.11585445977606E+03,-0.32008850309273E+02, -0.9999900E+05,  0.3768757E+03,  0.3768757E+03,,,3,           3
